uni3041	U+3041	ぁ
uni3042	U+3042	あ
uni3043	U+3043	ぃ
uni3044	U+3044	い
uni3045	U+3045	ぅ
uni3046	U+3046	う
uni3047	U+3047	ぇ
uni3048	U+3048	え
uni3049	U+3049	ぉ
uni304A	U+304A	お
uni304B	U+304B	か
uni304C	U+304C	が
uni304D	U+304D	き
uni304E	U+304E	ぎ
uni304F	U+304F	く
uni3050	U+3050	ぐ
uni3051	U+3051	け
uni3052	U+3052	げ
uni3053	U+3053	こ
uni3054	U+3054	ご
uni3055	U+3055	さ
uni3056	U+3056	ざ
uni3057	U+3057	し
uni3058	U+3058	じ
uni3059	U+3059	す
uni305A	U+305A	ず
uni305B	U+305B	せ
uni305C	U+305C	ぜ
uni305D	U+305D	そ
uni305E	U+305E	ぞ
uni305F	U+305F	た
uni3060	U+3060	だ
uni3061	U+3061	ち
uni3062	U+3062	ぢ
uni3063	U+3063	っ
uni3064	U+3064	つ
uni3065	U+3065	づ
uni3066	U+3066	て
uni3067	U+3067	で
uni3068	U+3068	と
uni3069	U+3069	ど
uni306A	U+306A	な
uni306B	U+306B	に
uni306C	U+306C	ぬ
uni306D	U+306D	ね
uni306E	U+306E	の
uni306F	U+306F	は
uni3070	U+3070	ば
uni3071	U+3071	ぱ
uni3072	U+3072	ひ
uni3073	U+3073	び
uni3074	U+3074	ぴ
uni3075	U+3075	ふ
uni3076	U+3076	ぶ
uni3077	U+3077	ぷ
uni3078	U+3078	へ
uni3079	U+3079	べ
uni307A	U+307A	ぺ
uni307B	U+307B	ほ
uni307C	U+307C	ぼ
uni307D	U+307D	ぽ
uni307E	U+307E	ま
uni307F	U+307F	み
uni3080	U+3080	む
uni3081	U+3081	め
uni3082	U+3082	も
uni3083	U+3083	ゃ
uni3084	U+3084	や
uni3085	U+3085	ゅ
uni3086	U+3086	ゆ
uni3087	U+3087	ょ
uni3088	U+3088	よ
uni3089	U+3089	ら
uni308A	U+308A	り
uni308B	U+308B	る
uni308C	U+308C	れ
uni308D	U+308D	ろ
uni308E	U+308E	ゎ
uni308F	U+308F	わ
uni3090	U+3090	ゐ
uni3091	U+3091	ゑ
uni3092	U+3092	を
uni3093	U+3093	ん
uni3094	U+3094	ゔ
uni3095	U+3095	ゕ
uni3096	U+3096	ゖ
uni309D	U+309D	ゝ
uni309E	U+309E	ゞ
uni309F	U+309F	ゟ
uni30A1	U+30A1	ァ
uni30A2	U+30A2	ア
uni30A3	U+30A3	ィ
uni30A4	U+30A4	イ
uni30A5	U+30A5	ゥ
uni30A6	U+30A6	ウ
uni30A7	U+30A7	ェ
uni30A8	U+30A8	エ
uni30A9	U+30A9	ォ
uni30AA	U+30AA	オ
uni30AB	U+30AB	カ
uni30AC	U+30AC	ガ
uni30AD	U+30AD	キ
uni30AE	U+30AE	ギ
uni30AF	U+30AF	ク
uni30B0	U+30B0	グ
uni30B1	U+30B1	ケ
uni30B2	U+30B2	ゲ
uni30B3	U+30B3	コ
uni30B4	U+30B4	ゴ
uni30B5	U+30B5	サ
uni30B6	U+30B6	ザ
uni30B7	U+30B7	シ
uni30B8	U+30B8	ジ
uni30B9	U+30B9	ス
uni30BA	U+30BA	ズ
uni30BB	U+30BB	セ
uni30BC	U+30BC	ゼ
uni30BD	U+30BD	ソ
uni30BE	U+30BE	ゾ
uni30BF	U+30BF	タ
uni30C0	U+30C0	ダ
uni30C1	U+30C1	チ
uni30C2	U+30C2	ヂ
uni30C3	U+30C3	ッ
uni30C4	U+30C4	ツ
uni30C5	U+30C5	ヅ
uni30C6	U+30C6	テ
uni30C7	U+30C7	デ
uni30C8	U+30C8	ト
uni30C9	U+30C9	ド
uni30CA	U+30CA	ナ
uni30CB	U+30CB	ニ
uni30CC	U+30CC	ヌ
uni30CD	U+30CD	ネ
uni30CE	U+30CE	ノ
uni30CF	U+30CF	ハ
uni30D0	U+30D0	バ
uni30D1	U+30D1	パ
uni30D2	U+30D2	ヒ
uni30D3	U+30D3	ビ
uni30D4	U+30D4	ピ
uni30D5	U+30D5	フ
uni30D6	U+30D6	ブ
uni30D7	U+30D7	プ
uni30D8	U+30D8	ヘ
uni30D9	U+30D9	ベ
uni30DA	U+30DA	ペ
uni30DB	U+30DB	ホ
uni30DC	U+30DC	ボ
uni30DD	U+30DD	ポ
uni30DE	U+30DE	マ
uni30DF	U+30DF	ミ
uni30E0	U+30E0	ム
uni30E1	U+30E1	メ
uni30E2	U+30E2	モ
uni30E3	U+30E3	ャ
uni30E4	U+30E4	ヤ
uni30E5	U+30E5	ュ
uni30E6	U+30E6	ユ
uni30E7	U+30E7	ョ
uni30E8	U+30E8	ヨ
uni30E9	U+30E9	ラ
uni30EA	U+30EA	リ
uni30EB	U+30EB	ル
uni30EC	U+30EC	レ
uni30ED	U+30ED	ロ
uni30EE	U+30EE	ヮ
uni30EF	U+30EF	ワ
uni30F0	U+30F0	ヰ
uni30F1	U+30F1	ヱ
uni30F2	U+30F2	ヲ
uni30F3	U+30F3	ン
uni30F4	U+30F4	ヴ
uni30F5	U+30F5	ヵ
uni30F6	U+30F6	ヶ
uni30F7	U+30F7	ヷ
uni30F8	U+30F8	ヸ
uni30F9	U+30F9	ヹ
uni30FA	U+30FA	ヺ
uni30FC	U+30FC	ー
uni30FD	U+30FD	ヽ
uni30FE	U+30FE	ヾ
uni30FF	U+30FF	ヿ
uni31F0	U+31F0	ㇰ
uni31F1	U+31F1	ㇱ
uni31F2	U+31F2	ㇲ
uni31F3	U+31F3	ㇳ
uni31F4	U+31F4	ㇴ
uni31F5	U+31F5	ㇵ
uni31F6	U+31F6	ㇶ
uni31F7	U+31F7	ㇷ
uni31F8	U+31F8	ㇸ
uni31F9	U+31F9	ㇹ
uni31FA	U+31FA	ㇺ
uni31FB	U+31FB	ㇻ
uni31FC	U+31FC	ㇼ
uni31FD	U+31FD	ㇽ
uni31FE	U+31FE	ㇾ
uni31FF	U+31FF	ㇿ